"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L9952","void assertThatIncludesDescriptionOfTestedValueInErrorMessage()","org.junit.tests.assertion.AssertionTest.assertThatIncludesDescriptionOfTestedValueInErrorMessage()V","L9604","L103","C:\Users\aheck\Documents\Repos\junit4\sourcefiles\src\test\java\org\junit\tests\assertion\AssertionTest.java","520","5","532","6","0","0","0","0","0","0","0","0","81.8323","10.1111","1692.31","142.011","37","23","94.0175","167.372","105.069","61.4438","76.0853","44.4943","2","1","1","0","2","0","0","0","0","0","11","13","6","0","11","13","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9953","void assertThatIncludesAdvancedMismatch()","org.junit.tests.assertion.AssertionTest.assertThatIncludesAdvancedMismatch()V","L9604","L103","C:\Users\aheck\Documents\Repos\junit4\sourcefiles\src\test\java\org\junit\tests\assertion\AssertionTest.java","534","5","543","6","0","0","0","0","0","0","0","0","78.2548","9.64286","1204.05","113.178","28","22","66.8915","124.864","109.843","64.2359","82.9733","48.5224","2","1","1","0","2","0","0","0","0","0","9","10","4","0","9","10","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9954","void assertThatDescriptionCanBeElided()","org.junit.tests.assertion.AssertionTest.assertThatDescriptionCanBeElided()V","L9604","L103","C:\Users\aheck\Documents\Repos\junit4\sourcefiles\src\test\java\org\junit\tests\assertion\AssertionTest.java","545","5","557","6","0","0","0","0","0","0","0","0","77.303","10.5","1685.67","141.638","36","22","93.6481","160.54","105.286","61.5706","76.3979","44.6772","2","1","1","0","2","0","0","0","0","0","11","13","6","0","11","13","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9955","void nullAndStringNullPrintCorrectError()","org.junit.tests.assertion.AssertionTest.nullAndStringNullPrintCorrectError()V","L9604","L103","C:\Users\aheck\Documents\Repos\junit4\sourcefiles\src\test\java\org\junit\tests\assertion\AssertionTest.java","559","5","566","6","0","0","0","0","0","0","0","0","49.6634","6.6","554.4","67.4863","21","16","30.8","84","113.813","66.5572","88.7","51.8713","2","1","1","0","1","0","0","0","0","0","8","8","3","0","8","8","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9956","void stringNullAndNullWorksToo()","org.junit.tests.assertion.AssertionTest.stringNullAndNullWorksToo()V","L9604","L103","C:\Users\aheck\Documents\Repos\junit4\sourcefiles\src\test\java\org\junit\tests\assertion\AssertionTest.java","568","5","571","6","0","0","0","0","0","0","0","0","35.6096","4","192.423","33.3302","13","13","10.6902","48.1057","128.17","74.9534","109.312","63.925","1","0","0","0","1","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9957","void compareBigDecimalAndInteger()","org.junit.tests.assertion.AssertionTest.compareBigDecimalAndInteger()V","L9604","L103","C:\Users\aheck\Documents\Repos\junit4\sourcefiles\src\test\java\org\junit\tests\assertion\AssertionTest.java","573","5","578","6","0","0","0","0","0","0","0","0","83.6515","10.2857","1535.43","133.092","33","23","85.3015","149.278","115.713","67.6686","91.34","53.4152","1","0","0","0","1","0","0","0","0","0","6","6","3","0","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9960","void sameObjectIsNotEqual()","org.junit.tests.assertion.AssertionTest.sameObjectIsNotEqual()V","L9604","L103","C:\Users\aheck\Documents\Repos\junit4\sourcefiles\src\test\java\org\junit\tests\assertion\AssertionTest.java","580","5","584","6","0","0","0","0","0","0","0","0","46.0537","8.25","676.869","77.0909","21","15","37.6038","82.0447","121.779","71.216","100.091","58.533","1","0","0","0","1","0","0","0","0","0","5","5","2","0","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9961","void objectsWithDiferentReferencesAreNotEqual()","org.junit.tests.assertion.AssertionTest.objectsWithDiferentReferencesAreNotEqual()V","L9604","L103","C:\Users\aheck\Documents\Repos\junit4\sourcefiles\src\test\java\org\junit\tests\assertion\AssertionTest.java","586","5","589","6","0","0","0","0","0","0","0","0","28.5293","4.5","224.23","36.9088","15","10","12.4572","49.8289","127.987","74.8464","109.048","63.7706","1","0","0","0","1","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9962","void assertNotEqualsIncludesCorrectMessage()","org.junit.tests.assertion.AssertionTest.assertNotEqualsIncludesCorrectMessage()V","L9604","L103","C:\Users\aheck\Documents\Repos\junit4\sourcefiles\src\test\java\org\junit\tests\assertion\AssertionTest.java","591","5","605","6","0","0","0","0","0","0","0","0","119.658","16","4318.06","265.171","55","30","239.892","269.879","99.8784","58.4084","68.5968","40.1151","2","1","1","0","3","0","0","0","0","0","13","15","8","0","13","15","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9963","void assertNotEqualsIncludesTheValueBeingTested()","org.junit.tests.assertion.AssertionTest.assertNotEqualsIncludesTheValueBeingTested()V","L9604","L103","C:\Users\aheck\Documents\Repos\junit4\sourcefiles\src\test\java\org\junit\tests\assertion\AssertionTest.java","607","5","620","6","0","0","0","0","0","0","0","0","106.09","15.7143","3810.7","243.97","51","27","211.706","242.499","101.731","59.492","71.2701","41.6784","2","1","1","0","3","0","0","0","0","0","12","14","7","0","12","14","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
